#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:27Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:28Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:29Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:30Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:31Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:32Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:36Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:37Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:38Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:39Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:40Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:41Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:42Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:43Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:44Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:45Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:46Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:47Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:48Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:49Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:50Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:51Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:52Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
,,2,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:53Z,66.440,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutTemperature
